data_augmentation,model_shape,model_type,test_loss,train_loss,train_dropout_rate,train_early_stop_patience,train_batch_size,train_val_split,lr_initial,lr_decay_step,lr_decay_rate,lr_stair_case
True,model2_mlp_3_512_1,Model2_QiskitToCapacitance,0.001935464795678854,mae,0,60,128,0.15/0.15,0.000982,220,0.99,False
True,model2_mlp_3_512_1,Model2_QiskitToCapacitance,0.001935464795678854,mae,0,60,128,0.15/0.15,0.000982,220,0.99,False
