Full_Time,Ansys_Solver_Only
188.589505476004,106.0
70.36208171601174,69.0
170.64594526600558,169.0
71.24271643400425,69.0
74.07452039798955,72.0
66.06803375598975,64.0
70.2058126910124,67.0
64.64833906601416,62.0
68.37393423804315,65.0
83.26609067100799,80.0
70.52690679300576,67.0
118.5499284240068,115.0
83.60195448197192,79.0
73.64256648003357,69.0
66.12178347405279,62.0
82.06598754698643,77.0
90.59373878798216,85.0
140.70439834403803,135.0
89.12149751000106,83.0
88.6775646530441,83.0
119.57787206600187,114.0
140.6541064880439,134.0
90.40861166198738,84.0
89.77131042204564,83.0
67.72478502400918,61.0
86.52934630401433,79.0
142.6419189349981,135.0
71.68126938102068,64.0
125.63176658703014,117.0
166.4140159470262,157.0
102.1778007739922,92.0
76.19578566297423,66.0
74.07365586201195,64.0
192.0397452380275,181.0
77.96878941199975,67.0
76.10597489605425,65.0
152.35245689499425,141.0
102.27331681002396,90.0
96.40281287301332,84.0
81.73195690201828,69.0
77.96320537402062,65.0
198.4343729279935,185.0
87.97424298501574,74.0
97.49570423498515,83.0
97.76396750798447,80.0
79.40900299802888,65.0
125.009397908987,110.0
101.37251213396668,86.0
58.19782942801248,43.0
130.2495365490322,115.0
154.5419852869818,138.0
132.0088672109996,114.0
105.5898729080218,88.0
128.18693052098388,110.0
140.75404501298908,123.0
105.9789327920298,88.0
97.55751420900924,78.0
98.82719021302182,79.0
103.69002452096902,84.0
92.14490939001551,73.0
100.15290475502844,80.0
91.92221822100691,71.0
87.97612884099362,67.0
110.6996224950417,89.0
112.01460080198012,91.0
97.79537973599508,76.0
92.845927206974,52.0
106.06746643199584,83.0
111.5123141600052,88.0
111.12883404700553,87.0
91.01998809800716,67.0
138.65912070602644,114.0
113.6697442040313,89.0
163.5901807070477,137.0
169.74741726904176,142.0
246.10806680697715,219.0
143.52229389699642,113.0
161.83568663097685,121.0
172.13178764597978,118.0
155.39661053195596,116.0
140.05302825802937,111.0
145.56042693799827,115.0
142.220612694975,112.0
144.62402385496534,114.0
141.10845293098828,111.0
141.044269564969,110.0
143.95336605299963,112.0
144.28943524195347,111.0
144.0079528739443,111.0
150.77802900096867,117.0
176.88722538994625,112.0
124.86223056307064,123.0
114.05959244689438,112.0
110.60591002099682,109.0
109.56054740201216,107.0
114.1487304730108,112.0
112.25207417004276,109.0
120.16055000002962,117.0
120.23973106301855,116.0
116.06565971695818,112.0
