benchmark,device,batch_number,mean_total_seconds,std_total_seconds,mean_time_per_sample_seconds,std_time_per_sample_seconds,repeats,mean_time_per_sample_ms,std_time_per_sample_ms,ansys_seconds_per_sample,speedup_ratio_from_ansys_time_per_sample,percent_speedup_from_ansys_time_per_sample
surrogate-only,CPU,1,0.0022823236568365246,0.0003208313736597867,0.0022823236568365246,0.0003208313736597867,50,2.2823236568365246,0.3208313736597867,120.0,52577.994203648224,5257699.420364822
surrogate-only,CPU,2,0.002003433316713199,6.926803927976229e-05,0.0010017166583565994,3.4634019639881146e-05,50,1.0017166583565995,0.03463401963988114,120.0,119794.35402109625,11979335.402109625
surrogate-only,CPU,4,0.002336280212039128,0.0002402892772128997,0.000584070053009782,6.007231930322492e-05,50,0.584070053009782,0.06007231930322492,120.0,205454.80697328312,20545380.69732831
surrogate-only,CPU,8,0.0019945718836970627,7.054504713791188e-05,0.00024932148546213283,8.818130892238985e-06,50,0.24932148546213284,0.008818130892238986,120.0,481306.2932685988,48130529.32685988
surrogate-only,CPU,16,0.002009640900650993,5.227100311886212e-05,0.00012560255629068707,3.2669376949288823e-06,50,0.12560255629068706,0.0032669376949288824,120.0,955394.5679439768,95539356.79439768
surrogate-only,CPU,32,0.0020664246613159775,7.744963145026759e-05,6.45757706661243e-05,2.420300982820862e-06,50,0.0645757706661243,0.0024203009828208622,120.0,1858282.1197819728,185828111.97819728
surrogate-only,CPU,64,0.002093031262047589,0.00013056824823978307,3.2703613469493576e-05,2.0401288787466105e-06,50,0.032703613469493575,0.0020401288787466106,120.0,3669319.297451268,366931829.7451268
surrogate-only,CPU,128,0.00221964524127543,0.0001372354240342103,1.7340978447464296e-05,1.0721517502672679e-06,50,0.017340978447464295,0.001072151750267268,120.0,6920024.747366383,692002374.7366383
surrogate-only,CPU,256,0.004059979721205309,0.0007251923327723614,1.585929578595824e-05,2.8327825498920366e-06,50,0.01585929578595824,0.0028327825498920367,120.0,7566540.256235561,756653925.6235561
surrogate-only,CPU,512,0.0038381133787333964,0.00015402856570542636,7.496315192838665e-06,3.0083704239341086e-07,50,0.007496315192838665,0.00030083704239341086,120.0,16007864.785973473,1600786378.5973473
surrogate-only,CPU,1024,0.004420254525030032,0.0003258904029971569,4.3166548095996404e-06,3.1825234667691106e-07,50,0.00431665480959964,0.00031825234667691107,120.0,27799304.15865931,2779930315.865931
surrogate-only,CPU,2048,0.006188266900135204,0.0008744366982979325,3.0216146973316425e-06,4.2697104409078737e-07,50,0.0030216146973316427,0.0004269710440907874,120.0,39713865.60502595,3971386460.502595
surrogate-only,GPU,1,0.0028158160240855067,0.00022548318207441968,0.0028158160240855067,0.00022548318207441968,50,2.815816024085507,0.22548318207441967,120.0,42616.420594798066,4261542.059479807
surrogate-only,GPU,2,0.0024922329443506897,8.865786033043144e-05,0.0012461164721753449,4.432893016521572e-05,50,1.2461164721753448,0.04432893016521572,120.0,96299.18444984205,9629818.444984205
surrogate-only,GPU,4,0.002552352357888594,0.00017619861711703428,0.0006380880894721485,4.404965427925857e-05,50,0.6380880894721486,0.04404965427925857,120.0,188061.8083613952,18806080.83613952
surrogate-only,GPU,8,0.0024539990175981075,0.00011329199408988144,0.00030674987719976344,1.416149926123518e-05,50,0.30674987719976343,0.01416149926123518,120.0,391198.20061689185,39119720.06168918
surrogate-only,GPU,16,0.0025287348218262194,0.00011901221901091768,0.00015804592636413871,7.438263688182355e-06,50,0.15804592636413872,0.007438263688182355,120.0,759272.9705890636,75927197.05890636
surrogate-only,GPU,32,0.002484298937488347,9.519653794268703e-05,7.763434179651085e-05,2.9748918107089698e-06,50,0.07763434179651085,0.00297489181070897,120.0,1545707.7012971237,154570670.12971237
surrogate-only,GPU,64,0.0024936520762275905,0.00010140358798093075,3.89633136910561e-05,1.584431062202043e-06,50,0.0389633136910561,0.001584431062202043,120.0,3079820.1855081334,307981918.5508133
surrogate-only,GPU,128,0.002517599341226742,0.00019044690361199197,1.966874485333392e-05,1.4878664344686872e-06,50,0.01966874485333392,0.0014878664344686872,120.0,6101050.214175694,610104921.4175694
surrogate-only,GPU,256,0.0025717905163764954,0.0001955376612497335,1.0046056704595685e-05,7.638189892567715e-07,50,0.010046056704595685,0.0007638189892567715,120.0,11944985.333907643,1194498433.3907642
surrogate-only,GPU,512,0.0027016114827711135,0.0002450547847712475,5.276584927287331e-06,4.786226265063427e-07,50,0.005276584927287331,0.00047862262650634273,120.0,22741982.106538646,2274198110.6538644
surrogate-only,GPU,1024,0.0026912695821374654,0.0001818059248651884,2.6281929513061186e-06,1.7754484850116054e-07,50,0.0026281929513061186,0.00017754484850116055,120.0,45658748.12972322,4565874712.972322
surrogate-only,GPU,2048,0.002578903200337663,0.00017222142904185585,1.2592300782898746e-06,8.409249464934368e-08,50,0.0012592300782898747,8.409249464934368e-05,120.0,95296325.96051762,9529632496.051762
