method,benchmark,device,batch_number,mean_time_per_sample_seconds,std_time_per_sample_seconds,mean_time_per_sample_ms,std_time_per_sample_ms,speedup_vs_ansys
Ansys,ansys-full-workflow,Ansys,1,114.1086879031238,35.617602210946295,114108.68790312379,35617.602210946294,1.0
Inverse + surrogate (CPU),inverse+surrogate,CPU,2048,3.023909345074572e-06,4.365246366077057e-08,0.0030239093450745718,4.365246366077057e-05,37735485.71784641
Inverse + surrogate (GPU),inverse+surrogate,GPU,2048,2.549710694665918e-06,1.6010946269721167e-08,0.0025497106946659183,1.6010946269721168e-05,44753582.49147367
Surrogate only (CPU),surrogate-only,CPU,2048,1.4566110485247918e-06,2.088191206932045e-08,0.0014566110485247918,2.088191206932045e-05,78338474.78960794
Surrogate only (GPU),surrogate-only,GPU,2048,1.136221395654502e-06,1.1382070047869982e-08,0.001136221395654502,1.1382070047869983e-05,100428216.13774781
