benchmark,device,batch_number,mean_total_seconds,std_total_seconds,mean_time_per_sample_seconds,std_time_per_sample_seconds,repeats,mean_time_per_sample_ms,std_time_per_sample_ms
inverse+surrogate,CPU,1,0.0048331305850297,0.0001333597674434,0.0048331305850297,0.0001333597674434,50,4.833130585029721,0.1333597674434965
inverse+surrogate,CPU,2,0.0048779395944438,0.0003625082167916,0.0024389697972219,0.0001812541083958,50,2.438969797221944,0.1812541083958451
inverse+surrogate,CPU,4,0.0048165239370428,4.57055834127402e-05,0.0012041309842607,1.142639585318505e-05,50,1.2041309842607006,0.011426395853185
inverse+surrogate,CPU,8,0.00485007511219,4.714426003697452e-05,0.0006062593890237,5.893032504621815e-06,50,0.6062593890237622,0.0058930325046218
inverse+surrogate,CPU,16,0.0048698991304263,5.0041214539063615e-05,0.0003043686956516,3.127575908691476e-06,50,0.3043686956516467,0.0031275759086914
inverse+surrogate,CPU,32,0.0049100579833611,3.821979313368068e-05,0.00015343931198,1.194368535427521e-06,50,0.153439311980037,0.0011943685354275
inverse+surrogate,CPU,64,0.0050347708375193,6.00963577538496e-05,7.866829433623934e-05,9.390055899039e-07,50,0.0786682943362393,0.0009390055899039
inverse+surrogate,CPU,128,0.0051992686395533,4.286957423290138e-05,4.0619286246510455e-05,3.349185486945421e-07,50,0.0406192862465104,0.0003349185486945
inverse+surrogate,CPU,256,0.0053359327558428,3.587912411941524e-05,2.084348732751096e-05,1.401528285914658e-07,50,0.0208434873275109,0.0001401528285914
inverse+surrogate,CPU,512,0.0055111834686249,0.0004363656106928,1.0764030212158103e-05,8.522765833843968e-07,50,0.0107640302121581,0.0008522765833843
inverse+surrogate,CPU,1024,0.0057814144715666,8.767376614502866e-05,5.645912569889333e-06,8.561891225100456e-08,50,0.0056459125698893,8.561891225100455e-05
inverse+surrogate,CPU,2048,0.0061929663387127,8.940024557725813e-05,3.023909345074572e-06,4.365246366077057e-08,50,0.0030239093450745,4.365246366077057e-05
inverse+surrogate,GPU,1,0.0051890295115299,0.0001016635626299,0.0051890295115299,0.0001016635626299,50,5.189029511529952,0.1016635626299438
inverse+surrogate,GPU,2,0.0051871158974245,3.648706541300316e-05,0.0025935579487122,1.824353270650158e-05,50,2.5935579487122595,0.0182435327065015
inverse+surrogate,GPU,4,0.0051846380392089,3.608140895939317e-05,0.0012961595098022,9.020352239848292e-06,50,1.2961595098022372,0.0090203522398482
inverse+surrogate,GPU,8,0.0051895466772839,3.223553878531023e-05,0.0006486933346604,4.029442348163779e-06,50,0.6486933346604928,0.0040294423481637
inverse+surrogate,GPU,16,0.0051889715483412,3.530593988227501e-05,0.0003243107217713,2.206621242642188e-06,50,0.3243107217713259,0.0022066212426421
inverse+surrogate,GPU,32,0.0051938184257596,4.0378530583117046e-05,0.0001623068258049,1.2618290807224077e-06,50,0.1623068258049897,0.0012618290807224
inverse+surrogate,GPU,64,0.005237892770674,0.0002323606705708,8.184207454178249e-05,3.6306354776688768e-06,50,0.0818420745417825,0.0036306354776688
inverse+surrogate,GPU,128,0.0051958315004594,3.915273712602917e-05,4.059243359733955e-05,3.058807587971029e-07,50,0.0405924335973395,0.0003058807587971
inverse+surrogate,GPU,256,0.005190749336034,3.296272559147239e-05,2.027636459388305e-05,1.2876064684168905e-07,50,0.020276364593883,0.0001287606468416
inverse+surrogate,GPU,512,0.0052069672453217,4.006742989553095e-05,1.0169857901018988e-05,7.825669901470889e-08,50,0.0101698579010189,7.825669901470887e-05
inverse+surrogate,GPU,1024,0.0052034044568426,4.024020330232767e-05,5.08144966488544e-06,3.9297073537429367e-08,50,0.0050814496648854,3.929707353742937e-05
inverse+surrogate,GPU,2048,0.0052218075026758,3.279041796038895e-05,2.549710694665918e-06,1.6010946269721167e-08,50,0.0025497106946659,1.6010946269721168e-05
