training_percent,n_points,scaled_mean,scaled_std,scaled_min,scaled_median,scaled_max,scaled_p25,scaled_p75,um_mean,um_std,um_min,um_median,um_max,um_p25,um_p75
10.0,135,0.8858364319602337,0.02210504681741384,0.8656822359908626,0.8757013948690047,0.9711650080807196,0.8693869387269192,0.894633922446123,48.3333652102436,33.647016900682374,5.9,51.33040034911085,120.56039980026608,11.610770861575041,71.99808937024176
20.0,270,0.8715070259796552,0.021370066975920626,0.8523197126498249,0.8656822359908626,0.9711650080807196,0.856618399134557,0.8757013948690047,34.33827607449926,29.18778994235981,5.9,23.12595943955623,120.56039980026608,11.610770861575041,51.33040034911085
30.0,406,0.8640919366067045,0.020327790615480956,0.8479992354991301,0.856618399134557,0.9711650080807196,0.8501622186320059,0.8692548696963917,26.614660578440787,26.335522458070983,5.9,11.610770861575041,120.56039980026608,11.180339887498949,36.53505166275258
40.0,541,0.8600361529010817,0.018960253081829758,0.847457627118644,0.8523197126498249,0.9711650080807196,0.8479992354991301,0.8656822359908626,21.808479020142165,24.322228492333018,5.0,11.610770861575041,120.56039980026608,5.9,23.12595943955623
50.0,676,0.8422875466826727,0.04841765690221251,0.7014912308982475,0.8496219890891173,0.9711650080807196,0.847457627118644,0.8608956213735914,24.494988026809416,26.2064727548418,5.0,11.610770861575041,120.56039980026608,5.9,32.16846281686459
60.0,811,0.818172535520833,0.06978344434879245,0.6955756495286627,0.8479992354991301,0.9711650080807196,0.744048512324249,0.856618399134557,22.446519919216538,24.50382877594948,5.0,11.610770861575041,120.56039980026608,5.9,29.585974638269462
70.0,946,0.8006443979017656,0.07759967936848876,0.6949152542372881,0.8479992354991301,0.9711650080807196,0.6982109844448213,0.8528582333641544,20.16993455569098,23.389099755293675,4.1,11.180339887498949,120.56039980026608,5.9,22.9128784747792
80.0,1082,0.750586150612659,0.1686684209797484,0.18181818181818188,0.847457627118644,0.9711650080807196,0.6955756495286627,0.8523197126498249,24.472703494743083,28.180989155558983,4.1,11.180339887498949,120.56039980026608,5.225,32.01562118716424
90.0,1217,0.6810698210988989,0.2532620901459495,0.08570991287109668,0.7415801957283918,0.9711650080807196,0.6949152542372881,0.8501622186320059,25.909823622283536,27.109531508531173,4.1,11.610770861575041,120.56039980026608,5.9,40.0
100.0,1352,0.6183945031441531,0.30528837869624553,0.030303030303030276,0.7014912308982475,0.9711650080807196,0.2991426740947358,0.8496219890891173,24.79597507981994,26.01941890012239,0.9000000000000004,11.610770861575041,120.56039980026608,5.9,32.16846281686459
