training_percent,n_samples,n_seeds,train_mean,train_std,val_mean,val_std,test_mean,test_std
20.0,270,5,0.2490030245768599,0.07200211827404471,0.28881442121600764,0.09659671984877856,0.3579385171114041,0.12299427089383039
40.0,541,5,0.20102940736879016,0.036438375321325836,0.21258236016262994,0.03657490414108952,0.21725025797995912,0.0332345370060224
60.0,811,5,0.18882633447031102,0.029279174947521615,0.19651933733265134,0.031708060029179114,0.1966209090276791,0.032062235146167746
80.0,1082,5,0.18755558133887207,0.027575341907207482,0.19500041832252346,0.031058604468509787,0.1929522090000182,0.030997488630919653
100.0,1352,5,0.17282944930490574,0.03622608986101026,0.17665926193910206,0.038281187064768865,0.17870653847102264,0.04004218844077396
