selection_method,variation,split_seed,fraction,training_percent,n_samples,seed,hyperparameter_source,surrogate_training_mode,saved_surrogate_model_path,surrogate_dense_units,surrogate_optimizer,surrogate_learning_rate,surrogate_dropout_rate,surrogate_l2_reg,surrogate_use_batchnorm,surrogate_reconstruction_loss,surrogate_best_val_loss,surrogate_best_epoch,surrogate_jit_compile,surrogate_batch_size,surrogate_early_stopping_patience,surrogate_train_omega_q_mean_pct,surrogate_train_alpha_mean_pct,surrogate_train_mean_hamiltonian_pct,surrogate_val_omega_q_mean_pct,surrogate_val_alpha_mean_pct,surrogate_val_mean_hamiltonian_pct,surrogate_test_omega_q_mean_pct,surrogate_test_alpha_mean_pct,surrogate_test_mean_hamiltonian_pct
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.2,20.0,270,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_020pct_seed3_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.006754310801625252,380,True,128,60,0.16215061662180472,0.4031592026396052,0.282654909630705,0.2467917691161997,0.5663712548700246,0.4065815119931121,0.22257445433517517,0.5990941529874496,0.4108343036613123
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.4,40.0,541,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_040pct_seed3_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.004023893736302853,392,True,128,60,0.1329007858421519,0.3566412724611616,0.24477102915165677,0.16372589102266477,0.42286256014640883,0.2932942255845368,0.16698140884742424,0.4440454734072989,0.3055134411273616
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.6,60.0,811,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_060pct_seed3_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.0036359766963869333,394,True,128,60,0.14424582054567514,0.347106498768302,0.2456761596569886,0.16398935033207382,0.4143030009400242,0.28914617563604905,0.160560389620116,0.406470034253297,0.28351521193670653
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.8,80.0,1082,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_080pct_seed3_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.0021470682695508003,366,True,128,60,0.13850490277118938,0.38910312365998234,0.2638040132155859,0.14061705420559725,0.41700786482528,0.27881245951543865,0.14479735422988074,0.4223651326409347,0.2835812434354077
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,1.0,100.0,1352,3,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_100pct_seed3_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.002328266855329275,398,True,128,60,0.15708456801166526,0.4058475780374599,0.28146607302456256,0.15665237853122524,0.4209014020521029,0.2887768902916641,0.18156667873475335,0.4846849646688097,0.33312582170178157
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.2,20.0,270,4,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_020pct_seed4_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.005719518288969994,388,True,128,60,0.1991071719672078,0.480073245660382,0.33959020881379487,0.2551349260487834,0.6446699505793522,0.44990243831406784,0.23307843545827128,0.6274068152406785,0.43024262534947494
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.4,40.0,541,4,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_040pct_seed4_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.0037140240892767906,386,True,128,60,0.1786096398243238,0.4834508481040911,0.3310302439642074,0.2078259735413828,0.5255113660502522,0.36666866979581747,0.22215647348714607,0.5830210820414833,0.4025887777643147
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.6,60.0,811,4,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_060pct_seed4_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.003542914753779769,398,True,128,60,0.164774116014119,0.39214025393075086,0.2784571849724349,0.19552013811613506,0.47143742907867975,0.3334787835974074,0.18701397084635116,0.45674858248139416,0.3218812766638727
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.8,80.0,1082,4,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_080pct_seed4_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.0028134151361882687,333,True,128,60,0.17350795431037103,0.47106011002377984,0.3222840321670754,0.1946256464950182,0.5280814934246519,0.36135356995983514,0.1908534508436429,0.4935115973126702,0.3421825240781566
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,1.0,100.0,1352,4,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_100pct_seed4_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.002015300327911973,388,True,128,60,0.13718520765307404,0.3465418213829128,0.24186351451799343,0.14311452309649159,0.36552649621695765,0.25432050965672465,0.14095047649701956,0.35667197642644927,0.2488112264617344
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.2,20.0,270,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_020pct_seed5_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.00564886350184679,397,True,128,60,0.1879569212295388,0.4423802532219155,0.31516858722572716,0.26600172751164786,0.6607343824539242,0.463368054982786,0.26832695005325474,0.732084682650875,0.5002058163520648
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.4,40.0,541,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_040pct_seed5_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.004786461126059294,399,True,128,60,0.16295812424223066,0.40775388810870555,0.2853560061754681,0.19970612180286207,0.4807921055733802,0.34024911368812116,0.18605799645152135,0.4986478608759071,0.3423529286637142
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.6,60.0,811,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_060pct_seed5_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.0031254240311682224,383,True,128,60,0.13040915511970816,0.2959004794109163,0.21315481726531224,0.13516391586534238,0.31382280742742197,0.2244933616463822,0.13440541552866397,0.31927540917272956,0.2268404123506968
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,0.8,80.0,1082,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_080pct_seed5_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.002520674141123891,302,True,128,60,0.16843965415462867,0.4606564383837494,0.3145480462691891,0.17196714670742333,0.45551665301119315,0.3137418998593082,0.18410971913276586,0.4991884523013688,0.34164908571706737
uniform_random_split_nested_random_subsets_diagnostic,surrogate_only,42,1.0,100.0,1352,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_best_hp_retrained_per_slice,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/uniform_diagnostic_sweep/surrogate_only/fraction_100pct_seed5_surrogate.keras,[736],Adam,0.05013880506157875,0.0,2.5830209678145145e-05,False,mae,0.002122220816090703,379,True,128,60,0.1454848834687366,0.3187631045240029,0.2321239939963698,0.14975933468902577,0.31559788103877323,0.2326786078638995,0.14510572576625355,0.34945797005106427,0.24728184790865895
