training_percent,n_samples,n_seeds,train_mean,train_std,val_mean,val_std,test_mean,test_std,test_fq_mean,test_fq_std,test_alpha_mean,test_alpha_std
20.0,270,5,0.3091599284386233,0.02815306845387215,0.4358177635748416,0.038304309939820536,0.45427746740779823,0.04123787471097525,0.24838259828987158,0.019656925373482244,0.6601723365257249,0.06587147157135981
40.0,541,5,0.27925033830748547,0.03254351819163163,0.3238872607022786,0.031393868908576116,0.33614780000439026,0.03975320733627512,0.18232392618063434,0.023747816235045297,0.48997167382814616,0.05586313498109889
60.0,811,5,0.2619548634563801,0.03352620507167695,0.29697747155913334,0.046123836057979956,0.2904874312682013,0.03863800986497051,0.1619475828888839,0.019186274344470476,0.4190272796475186,0.060165553589317224
80.0,1082,5,0.26979145715186936,0.05161312941913575,0.29258803624145696,0.05110572907370478,0.28657185681671515,0.0592131427362784,0.1548541079463816,0.032766069020313766,0.41828960568704865,0.08626732771280746
100.0,1352,5,0.24912282525680132,0.030901437928158044,0.254118524950756,0.039564253693552084,0.2720297377015236,0.04619393747239269,0.15067063596068697,0.021085451096328058,0.39338883944236025,0.07206221175628318
