training_percent,n_samples,n_seeds,train_mean,train_std,val_mean,val_std,test_mean,test_std
10.0,135,2,0.8133764250689248,0.022274920932300407,0.8558613009422811,0.03713061568068508,0.8452773755691978,0.002236786091230696
20.0,270,2,1.299283103663872,0.5583374622845008,1.3453854416883009,0.6367645651976871,2.0804458170803146,0.6909525325192638
30.0,406,2,0.3354098729811843,0.05007240849536315,0.3485297162683757,0.04715476231707668,0.4092918521330954,0.0532878321130883
40.0,541,2,0.3420039819195097,0.08518621474106615,0.3442969420241767,0.09488461334820482,0.3585894789072337,0.0926050617650323
50.0,676,2,0.1944096982228784,0.02287668834733322,0.18833303190242845,0.028233663593495526,0.20311379932807594,0.022732853915349457
60.0,811,2,0.47832528842889244,0.07345399530809844,0.42925796843944763,0.08463267724246802,0.5024552330635725,0.0713073033609942
70.0,946,2,0.9396258572612737,0.7656373084635958,0.890452341274008,0.6850049776284851,0.9480328756835313,0.7680649530655466
80.0,1082,2,0.13707983206100055,0.011942647188265985,0.14192784911392214,0.008044530554912282,0.13861527099901277,0.0012121680280545834
