neurons_per_layer,depth,width,total_params,inverse_trainable_params,surrogate_non_trainable_params,combined_total_params,best_val_loss,best_epoch
"(16,)",1,16,99,99,4418,4517,0.0032121080439537764,397
"(32,)",1,32,195,195,4418,4613,0.0026180960703641176,399
"(64,)",1,64,387,387,4418,4805,0.003967192955315113,394
"(128,)",1,128,771,771,4418,5189,0.008329451084136963,396
"(256,)",1,256,1539,1539,4418,5957,0.013738324865698814,393
"(512,)",1,512,3075,3075,4418,7493,0.025648659095168114,398
"(16, 16)",2,16,371,371,4418,4789,0.003497531171888113,376
"(32, 32)",2,32,1251,1251,4418,5669,0.004099506419152021,394
"(64, 64)",2,64,4547,4547,4418,8965,0.006772465072572231,392
"(128, 128)",2,128,17283,17283,4418,21701,0.00933783408254385,400
"(256, 256)",2,256,67331,67331,4418,71749,0.012478919699788094,395
"(512, 512)",2,512,265731,265731,4418,270149,0.017417101189494133,400
"(16, 16, 16)",3,16,643,643,4418,5061,0.0034635146148502827,356
"(32, 32, 32)",3,32,2307,2307,4418,6725,0.004406753461807966,378
"(64, 64, 64)",3,64,8707,8707,4418,13125,0.00788546446710825,395
"(128, 128, 128)",3,128,33795,33795,4418,38213,0.010498419404029846,383
"(256, 256, 256)",3,256,133123,133123,4418,137541,0.011225158348679543,400
"(512, 512, 512)",3,512,528387,528387,4418,532805,0.014967390336096287,396
"(16, 16, 16, 16)",4,16,915,915,4418,5333,0.004359625279903412,397
"(32, 32, 32, 32)",4,32,3363,3363,4418,7781,0.0052865054458379745,400
"(64, 64, 64, 64)",4,64,12867,12867,4418,17285,0.008222997188568115,399
"(128, 128, 128, 128)",4,128,50307,50307,4418,54725,0.009947674348950386,390
"(256, 256, 256, 256)",4,256,198915,198915,4418,203333,0.01236645132303238,389
"(512, 512, 512, 512)",4,512,791043,791043,4418,795461,0.012246167287230492,396
"(16, 16, 16, 16, 16)",5,16,1187,1187,4418,5605,0.0038477363996207714,396
"(32, 32, 32, 32, 32)",5,32,4419,4419,4418,8837,0.00535013759508729,399
"(64, 64, 64, 64, 64)",5,64,17027,17027,4418,21445,0.007655872963368893,378
"(128, 128, 128, 128, 128)",5,128,66819,66819,4418,71237,0.010701024904847145,389
"(256, 256, 256, 256, 256)",5,256,264707,264707,4418,269125,0.013782810419797897,389
"(512, 512, 512, 512, 512)",5,512,1053699,1053699,4418,1058117,0.013902821578085423,395
