neurons_per_layer,depth,width,is_uniform_width,total_params,inverse_trainable_params,surrogate_non_trainable_params,combined_total_params,best_val_loss,best_epoch,dropout_rate,l2_reg,learning_rate,use_batchnorm,penalty_weight,kernel_initializer,source,saved_model_path,matched_trial_path,val_reconstruction_loss,val_penalty_loss
"(16,)",1,16,True,99,99,4418,4517,0.002778303576633334,83.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(32,)",1,32,True,195,195,4418,4613,0.0018436022801324725,130.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(64,)",1,64,True,387,387,4418,4805,0.0010692718205973506,,0.0,1e-06,0.1,False,1.0,lecun_uniform,saved_best_inverse_model,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/kt_dir2/transmon_cross_surrogate_loss2/trial_0180/trial.json,0.0010001452174037695,0.0
"(16, 16)",2,16,True,371,371,4418,4789,0.0009613145957700908,239.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(32, 32)",2,32,True,1251,1251,4418,5669,0.0012792641064152122,152.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(16, 16, 16)",3,16,True,643,643,4418,5061,0.0018523228354752064,152.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(32, 32, 32)",3,32,True,2307,2307,4418,6725,0.0014587226323783398,173.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(16, 16, 16, 16)",4,16,True,915,915,4418,5333,0.0013661228585988283,101.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
"(32, 32, 32, 32)",4,32,True,3363,3363,4418,7781,0.0021301356609910727,197.0,0.0,1e-06,0.1,False,1.0,lecun_uniform,retrained_same_hyperparams,,,,
