selection_method,fraction,training_percent,n_samples,seed,subset_nn_distance_min,subset_nn_distance_median,subset_nn_distance_max,train_omega_q_mean_pct,train_alpha_mean_pct,train_mean_hamiltonian_pct,val_omega_q_mean_pct,val_alpha_mean_pct,val_mean_hamiltonian_pct,test_omega_q_mean_pct,test_alpha_mean_pct,test_mean_hamiltonian_pct
far_to_near_by_heldout_geometry_nn_distance,0.05,5.0,68,0,0.06060606060606061,0.06060606060606066,0.09090909090909094,0.8608302347341761,2.527230825013345,1.6940305298737612,1.1584548600666016,3.384798528712672,2.271626694389637,1.2180143579281895,3.4127096218775934,2.315361989902891
far_to_near_by_heldout_geometry_nn_distance,0.05,5.0,68,1,0.06060606060606061,0.06060606060606066,0.09090909090909094,2.986586389360347,5.245464563391767,4.116025476376057,2.505363011150328,6.451611264220069,4.478487137685198,2.3550731490583527,6.110085744908683,4.232579446983517
far_to_near_by_heldout_geometry_nn_distance,0.05,5.0,68,2,0.06060606060606061,0.06060606060606066,0.09090909090909094,1.9791528926009643,2.628715423048284,2.3039341578246244,1.4952136559496771,3.5015187139129664,2.498366184931322,1.4274363975377462,3.4590650322120218,2.443250714874884
far_to_near_by_heldout_geometry_nn_distance,0.1,10.0,135,0,0.042854956435548375,0.06060606060606061,0.09090909090909094,0.49473119040395647,1.5162474785843743,1.0054893344941656,0.4908787744875683,1.5400480881367602,1.0154634313121642,0.512039161618218,1.4444504354297303,0.9782447985239742
far_to_near_by_heldout_geometry_nn_distance,0.1,10.0,135,1,0.042854956435548375,0.06060606060606061,0.09090909090909094,1.516635015740162,4.896530831690761,3.206582923715461,1.2482655603698618,6.3602559875101266,3.804260773939994,1.1739496377899754,6.318078367652612,3.746014002721294
far_to_near_by_heldout_geometry_nn_distance,0.1,10.0,135,2,0.042854956435548375,0.06060606060606061,0.09090909090909094,1.2770327208673855,2.8514225464836485,2.064227633675517,0.8971788794288049,3.047624274691634,1.97240157706022,0.8363220342144165,3.075648746108499,1.955985390161458
far_to_near_by_heldout_geometry_nn_distance,0.2,20.0,271,0,0.04285495643554832,0.042854956435548375,0.09090909090909094,0.19662872309803853,0.9954272632486445,0.5960279931733417,0.25008381092537646,1.0822831447713923,0.6661834778483843,0.2801694381254606,1.0805155753742164,0.6803425067498385
far_to_near_by_heldout_geometry_nn_distance,0.2,20.0,271,1,0.04285495643554832,0.042854956435548375,0.09090909090909094,0.8079075858279742,1.6171017981505014,1.2125046919892377,0.8031657830145312,1.9544861269918152,1.3788259550031732,0.8198338237639484,1.9514846853367875,1.385659254550368
far_to_near_by_heldout_geometry_nn_distance,0.2,20.0,271,2,0.04285495643554832,0.042854956435548375,0.09090909090909094,0.8457324494220242,2.3540984587986213,1.5999154541103227,0.7613004216639703,2.444414472780136,1.6028574472220531,0.7379002876677025,2.403958209112063,1.5709292483898827
far_to_near_by_heldout_geometry_nn_distance,0.3,30.0,406,0,0.030303030303030387,0.04285495643554834,0.09090909090909094,0.16358388581268565,0.9125912886899528,0.5380875872513192,0.17229259367380106,0.9361059626688785,0.5541992781713398,0.21387322631708008,0.9557811139755775,0.5848271701463288
