selection_method,requested_corner_claw_um,requested_corner_ground_um,requested_corner_cross_um,used_corner_claw_um,used_corner_ground_um,used_corner_cross_um,fraction,training_percent,n_samples,seed,hyperparameter_source,surrogate_reference_model_path,surrogate_training_mode,combined_reference_model_path,inverse_reference_model_path,saved_surrogate_model_path,saved_combined_model_path,saved_inverse_model_path,surrogate_dense_units,inverse_dense_units,surrogate_optimizer,surrogate_learning_rate,surrogate_dropout_rate,surrogate_l2_reg,surrogate_use_batchnorm,surrogate_reconstruction_loss,surrogate_best_val_loss,surrogate_best_epoch,surrogate_jit_compile,surrogate_batch_size,surrogate_early_stopping_patience,inverse_optimizer,inverse_learning_rate,inverse_n_layers,inverse_dropout_rate,inverse_l2_reg,inverse_use_batchnorm,inverse_reconstruction_loss,range_penalty_weight,inverse_best_val_loss,inverse_best_epoch,inverse_jit_compile,inverse_batch_size,inverse_early_stopping_patience,subset_to_test_nn_distance_min,subset_to_test_nn_distance_median,subset_to_test_nn_distance_max,surrogate_train_omega_q_mean_pct,surrogate_train_alpha_mean_pct,surrogate_train_mean_hamiltonian_pct,surrogate_val_omega_q_mean_pct,surrogate_val_alpha_mean_pct,surrogate_val_mean_hamiltonian_pct,surrogate_test_omega_q_mean_pct,surrogate_test_alpha_mean_pct,surrogate_test_mean_hamiltonian_pct,train_omega_q_mean_pct,train_alpha_mean_pct,train_mean_hamiltonian_pct,val_omega_q_mean_pct,val_alpha_mean_pct,val_mean_hamiltonian_pct,test_omega_q_mean_pct,test_alpha_mean_pct,test_mean_hamiltonian_pct,test_qiskit_scaled_min,test_qiskit_scaled_max,test_qiskit_range_violation_mean,test_qiskit_range_violation_max
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_per_fraction_hp,50.0,2.0,420.0,70.0,4.1,420.0,0.1,10.0,135,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/data_amount_sweep_corner_far_to_near_retrained_surrogate_seed3.csv,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_per_fraction_tuner_hp_retrained_per_seed,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_010pct_seed5_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_010pct_seed5_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_010pct_seed5_inverse.keras,[224],[320],Adam,0.1,0.25,4.460702038423074e-05,True,mae,0.022177785634994507,221,False,128,60,Adam,0.0270380060224934,1,0.15,1e-06,True,mae,1.0,0.024517714977264404,63,False,128,60,0.8656822359908626,0.8757013948690047,0.9711650080807196,6.490960557534981,10.187290495406858,8.33912552647092,2.13520411739116,5.177155975528856,3.656180046460008,2.0026240114148037,4.791369687978523,3.396996849696663,7.978904195828609,15.94842035260093,11.963662274214768,2.257924493687293,6.052443200491858,4.155183847089575,2.0448848054000153,5.358301641097658,3.7015932232488367,-0.14564889669418335,0.8907043933868408,0.030081715434789658,0.14564889669418335
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_per_fraction_hp,50.0,2.0,420.0,70.0,4.1,420.0,0.2,20.0,270,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/data_amount_sweep_corner_far_to_near_retrained_surrogate_seed3.csv,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_per_fraction_tuner_hp_retrained_per_seed,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_020pct_seed5_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_020pct_seed5_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_020pct_seed5_inverse.keras,[32],[192],Adam,0.1,0.05,2.593723958974596e-05,True,mae,0.02265380322933197,143,False,128,60,Adam,0.0088090443480729,1,0.0,1e-06,False,mae,0.6705471632267371,0.00742855342105031,156,False,128,60,0.8523197126498249,0.8656822359908626,0.9711650080807196,6.068535153492418,15.869955069317358,10.969245111404888,2.9837202913884653,4.795667985133023,3.8896941382607446,2.8837803385290735,4.507258262264177,3.6955193003966245,0.33541858293991195,2.3188035980225754,1.3271110904812435,0.35547871821603094,3.3150393811347576,1.8352590496753944,0.3419571968367574,3.3290661301809354,1.8355116635088466,-0.03504619002342224,1.0458139181137085,0.0023804516531527042,0.045813918113708496
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_per_fraction_hp,50.0,2.0,420.0,70.0,4.1,420.0,0.3,30.0,406,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/data_amount_sweep_corner_far_to_near_retrained_surrogate_seed3.csv,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_per_fraction_tuner_hp_retrained_per_seed,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_030pct_seed5_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_030pct_seed5_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_030pct_seed5_inverse.keras,[32],[64],Adam,0.0445139787927289,0.35,0.0013893220316778,True,mae,0.009790469892323017,146,False,128,60,Adam,0.1,1,0.0,1e-06,False,mae,0.2014392469336214,0.003197123995050788,61,False,128,60,0.8479992354991301,0.856618399134557,0.9711650080807196,1.702617330691745,3.354289798586038,2.528453564638891,1.0397505769997974,2.030564659001899,1.5351576180008482,1.0236546633658583,2.0300257156454258,1.5268401895056423,0.7300018683496652,1.2391408973299118,0.9845713828397885,0.43178206390147506,0.6647019483193662,0.5482420061104206,0.3924324141020479,0.5413141203481583,0.46687326722510303,0.11658693850040436,0.9723702669143677,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_per_fraction_hp,50.0,2.0,420.0,70.0,4.1,420.0,0.4,40.0,541,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/data_amount_sweep_corner_far_to_near_retrained_surrogate_seed3.csv,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_per_fraction_tuner_hp_retrained_per_seed,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_040pct_seed5_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_040pct_seed5_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_040pct_seed5_inverse.keras,[512],[64],Adam,0.0328268582982322,0.15,1.6308979287756596e-05,True,mae,0.015941936522722244,92,False,128,60,Adam,0.0113566254692047,1,0.0,1e-06,False,mae,0.4461065957534032,0.0035132477059960365,36,False,128,60,0.847457627118644,0.8523197126498249,0.9711650080807196,2.3326973382920917,5.380068955590251,3.8563831469411713,1.5301531153911392,4.041551679736878,2.7858523975640086,1.4482881433216037,4.130094363155906,2.7891912532387546,0.35975881622831685,1.5728023106740254,0.9662805634511711,0.284424726251807,1.1618229533498015,0.7231238398008041,0.25572141221851413,1.1653190121928794,0.7105202122056967,0.15933935344219208,1.016545295715332,0.000159857067046687,0.01654529571533203
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_per_fraction_hp,50.0,2.0,420.0,70.0,4.1,420.0,0.5,50.0,676,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/data_amount_sweep_corner_far_to_near_retrained_surrogate_seed3.csv,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_per_fraction_tuner_hp_retrained_per_seed,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_050pct_seed5_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_050pct_seed5_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_050pct_seed5_inverse.keras,[480],[64],Adam,0.0496802619672701,0.15,0.0006805406997504,False,mae,0.012089834548532963,175,False,128,60,Adam,0.0143779263499451,1,0.0,1e-06,False,mae,0.2491871728758141,0.0017718038288876414,81,False,128,60,0.7014912308982475,0.8496219890891173,0.9711650080807196,1.0329295926816187,2.68304320951193,1.8579864010967744,1.0423252379191046,1.2806919163004493,1.1615085771097768,0.9156589374384724,1.2003573846666318,1.058008161052552,0.3710069704036006,0.8699607058313553,0.620483838117478,0.18581289806644535,0.44379082304367384,0.3148018605550596,0.16271906510658543,0.43042908529204055,0.29657407519931295,0.08357776701450348,1.0245361328125,0.00023855171457398683,0.0245361328125
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_per_fraction_hp,50.0,2.0,420.0,70.0,4.1,420.0,0.6,60.0,811,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/data_amount_sweep_corner_far_to_near_retrained_surrogate_seed3.csv,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_per_fraction_tuner_hp_retrained_per_seed,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_060pct_seed5_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_060pct_seed5_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_060pct_seed5_inverse.keras,[64],[128],Adam,0.0483182889714799,0.25,0.0020991202531994,True,mae,0.019800743088126183,117,False,128,60,Adam,0.0295435151216709,1,0.05,1e-06,True,mae,0.3178586466125124,0.03553929552435875,59,False,128,60,0.6955756495286627,0.8479992354991301,0.9711650080807196,6.1325071487982425,14.801071386897277,10.466789267847759,2.2449774369834468,4.1610610247721675,3.2030192308778074,2.192982559479203,3.9509610748095025,3.0719718171443526,6.311541481720787,14.155092491752798,10.233316986736792,4.551930279345476,11.065372393185417,7.808651336265445,4.532930009828666,11.067758052824813,7.800344031326739,-0.02852194383740425,0.7746455669403076,0.0012720259837806225,0.02852194383740425
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_per_fraction_hp,50.0,2.0,420.0,70.0,4.1,420.0,0.7,70.0,946,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/data_amount_sweep_corner_far_to_near_retrained_surrogate_seed3.csv,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_per_fraction_tuner_hp_retrained_per_seed,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_070pct_seed5_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_070pct_seed5_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_070pct_seed5_inverse.keras,[1024],[64],Adam,0.0334924449698129,0.3,0.0008408628021588,False,mae,0.015615735203027725,80,False,128,60,Adam,0.0087789936449084,1,0.0,1e-06,True,mae,1.0,0.00861242413520813,73,False,128,60,0.6949152542372881,0.8479992354991301,0.9711650080807196,2.387662011377437,7.2798709707049,4.833766491041168,0.7286135382530797,3.6435906862383245,2.186102112245702,0.7341577527762907,3.6814973484607667,2.2078275506185285,2.9870974492327385,5.971588468268303,4.47934295875052,1.1406591397493524,1.7188062770310044,1.4297327083901783,1.0626367580421126,1.719078887295246,1.3908578226686792,0.07474616169929504,1.0069442987442017,4.965824700775556e-05,0.00694429874420166
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_per_fraction_hp,50.0,2.0,420.0,70.0,4.1,420.0,0.8,80.0,1082,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/data_amount_sweep_corner_far_to_near_retrained_surrogate_seed3.csv,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_per_fraction_tuner_hp_retrained_per_seed,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_080pct_seed5_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_080pct_seed5_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_080pct_seed5_inverse.keras,[928],[320],Adam,0.0347922329251888,0.15,0.0003013727531478,False,mae,0.005391804035753012,231,False,128,60,Adam,0.021795313477104,1,0.2,1e-06,False,mae,0.1405983022715181,0.0013717871624976397,273,False,128,60,0.18181818181818188,0.847457627118644,0.9711650080807196,0.4504686857763165,1.03884033360199,0.7446545096891533,0.4299645599194129,0.9902862072935196,0.7101253836064662,0.4206456692194238,1.053749097345621,0.7371973832825225,0.1738564908676522,0.2778945381144206,0.2258755144910364,0.12905098577117471,0.26191512330721445,0.19548305453919457,0.11255019976552982,0.24337640645348804,0.17796330310950892,0.029046785086393356,1.0075905323028564,5.736929961130954e-05,0.007590532302856445
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_per_fraction_hp,50.0,2.0,420.0,70.0,4.1,420.0,0.9,90.0,1217,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/data_amount_sweep_corner_far_to_near_retrained_surrogate_seed3.csv,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_per_fraction_tuner_hp_retrained_per_seed,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_090pct_seed5_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_090pct_seed5_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_090pct_seed5_inverse.keras,[768],[64],Adam,0.03,0.1,0.000452266407597,False,mae,0.0036266399547457695,363,False,128,60,Adam,0.0375865253479554,1,0.0,1e-06,False,mae,0.1300706949201156,0.0006905053742229939,217,False,128,60,0.08570991287109668,0.7415801957283918,0.9711650080807196,0.24868814435526299,0.5239193892129622,0.3863037667841126,0.3006475408995846,0.5911216990228979,0.44588461996124124,0.3163961886850222,0.5764805046014841,0.44643834664325316,0.08321196763891188,0.24418046321206077,0.16369621542548632,0.08074666800931475,0.15691438515886383,0.11883052658408928,0.07512321974814448,0.17811863925760682,0.12662092950287565,0.1431092768907547,1.0015476942062378,3.294846464996226e-06,0.001547694206237793
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_per_fraction_hp,50.0,2.0,420.0,70.0,4.1,420.0,1.0,100.0,1352,5,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/data_amount_sweep_corner_far_to_near_retrained_surrogate_seed3.csv,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_per_fraction_tuner_hp_retrained_per_seed,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_100pct_seed5_surrogate.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_100pct_seed5_combined.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/corner_far_to_near_data_amount_sweep_fixed_hp/fraction_100pct_seed5_inverse.keras,[672],[64],Adam,0.0307629913977502,0.1,0.0001998775236478,False,mae,0.002951117232441902,297,False,128,60,Adam,0.0433836151007976,1,0.0,1e-06,False,mae,0.1870382802958994,0.0006687326822429895,159,False,128,60,0.030303030303030276,0.7014912308982475,0.9711650080807196,0.26187725354970937,0.6150339047926066,0.438455579171158,0.2391363825847531,0.4948523735382678,0.36699437806151053,0.2634655776932783,0.4935619101805605,0.3785137439369194,0.09012850803008762,0.21477751686801896,0.1524530124490533,0.07505512141897565,0.15513060616145335,0.11509286379021451,0.06517037865638309,0.1426036667227723,0.10388702268957771,-0.0008350834250450134,0.9986198544502258,9.565675327394274e-07,0.0008350834250450134
