training_percent,n_samples,n_seeds,train_mean,train_std,val_mean,val_std,test_mean,test_std
20.0,270,5,0.22843172399241954,0.12061335914831725,0.2804831383490348,0.15004844137576995,0.3416752213093486,0.16911637440113345
40.0,541,5,0.16640925914511406,0.026151209755166337,0.1828041183538335,0.028146715794693203,0.1858728559559126,0.0317760098914559
60.0,811,5,0.15504312762683148,0.05370760205879054,0.16161826364767312,0.06268895927298883,0.165605651642398,0.05883046760193127
80.0,1082,5,0.11923465705777932,0.0358874361373139,0.1228459966416108,0.04066960009151619,0.12125829682278652,0.03400306986866093
100.0,1352,5,0.09113824931134634,0.019699170599456323,0.09223099560908347,0.01775020399233949,0.0937688498997292,0.0183931121972241
