selection_method,requested_corner_claw_um,requested_corner_ground_um,requested_corner_cross_um,used_corner_claw_um,used_corner_ground_um,used_corner_cross_um,fraction,training_percent,n_samples,seed,surrogate_model_path,surrogate_training_mode,combined_reference_model_path,inverse_reference_model_path,inverse_dense_units,optimizer,learning_rate,reconstruction_loss,range_penalty_weight,jit_compile,epochs_run,batch_size,early_stopping_patience,subset_to_test_nn_distance_min,subset_to_test_nn_distance_median,subset_to_test_nn_distance_max,train_fq_mean_pct,train_alpha_mean_pct,train_mean_hamiltonian_pct,val_fq_mean_pct,val_alpha_mean_pct,val_mean_hamiltonian_pct,test_fq_mean_pct,test_alpha_mean_pct,test_mean_hamiltonian_pct,test_qiskit_scaled_min,test_qiskit_scaled_max,test_qiskit_range_violation_mean,test_qiskit_range_violation_max
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_pretrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.05,5.0,68,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_pretrained_repo_surrogate,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,"[64, 3]",Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,173,128,60,0.8757013948690047,0.894633922446123,0.9711650080807196,5.764315910527152,12.84486455863087,9.30459023457901,4.568901599777135,9.77278639978066,7.170843999778899,4.059114842301521,8.678307453786621,6.368711148044071,0.05245699733495712,0.7969540953636169,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_pretrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.05,5.0,68,1,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_pretrained_repo_surrogate,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,"[64, 3]",Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.8757013948690047,0.894633922446123,0.9711650080807196,0.36635810831474336,0.6271871625698276,0.49677263544228545,2.11844985473875,4.066919673753083,3.0926847642459165,2.1264639236081675,4.151998345969527,3.1392311347888473,0.07788597047328949,0.9395973086357117,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_pretrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.05,5.0,68,2,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_pretrained_repo_surrogate,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,"[64, 3]",Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.8757013948690047,0.894633922446123,0.9711650080807196,0.3561470599002268,0.5232646230923038,0.4397058414962654,2.083238805068487,3.961891861425331,3.0225653332469093,2.0786132312446486,3.991150275485708,3.0348817533651786,0.05405738204717636,0.9409600496292114,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_pretrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.1,10.0,135,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_pretrained_repo_surrogate,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,"[64, 3]",Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,111,128,60,0.8656822359908626,0.8757013948690047,0.9711650080807196,8.734093164677628,19.75105430777314,14.242573736225383,4.421097588664575,9.747915925082653,7.084506756873613,3.9596803079318543,8.771372626904043,6.365526467417948,-0.060539260506629944,0.764747679233551,0.0005028432351537049,0.060539260506629944
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_pretrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.1,10.0,135,1,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_pretrained_repo_surrogate,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,"[64, 3]",Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.8656822359908626,0.8757013948690047,0.9711650080807196,0.8412186855151306,1.511422206273069,1.1763204458940997,1.080432613093138,1.8208381759916306,1.4506353945423844,1.013049257325106,1.7260819340637965,1.369565595694451,0.012387221679091454,0.9387810826301575,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_pretrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.1,10.0,135,2,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_pretrained_repo_surrogate,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,"[64, 3]",Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.8656822359908626,0.8757013948690047,0.9711650080807196,0.49739546812601965,0.7573826796474614,0.6273890738867406,2.6059639206183136,5.039045074854564,3.822504497736439,2.505189609210413,4.878904789528288,3.6920471993693504,0.0003112480044364929,0.9385164380073547,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_pretrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.2,20.0,270,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_pretrained_repo_surrogate,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,"[64, 3]",Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.8523197126498249,0.8656822359908626,0.9711650080807196,0.12120508214939994,0.35994773143605574,0.24057640679272788,0.3783953539679197,1.0000702019395533,0.6892327779537365,0.38738534082884685,0.9781298242726912,0.682757582550769,0.020431550219655037,0.9595866799354553,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_pretrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.2,20.0,270,1,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_pretrained_repo_surrogate,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,"[64, 3]",Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.8523197126498249,0.8656822359908626,0.9711650080807196,0.14339846574462717,0.3037210457053194,0.22355975572497325,0.09627255407392779,0.32875946970521347,0.21251601188957062,0.08226011542125791,0.34045116436827566,0.2113556398947668,0.01988421566784382,0.9633703231811523,0.0,0.0
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_pretrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.2,20.0,270,2,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_pretrained_repo_surrogate,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,"[64, 3]",Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,400,128,60,0.8523197126498249,0.8656822359908626,0.9711650080807196,0.11424279710802573,0.28505261336853693,0.19964770523828135,0.10945463963328728,0.393030241931442,0.25124244078236463,0.11595462188851416,0.3628518595087564,0.2394032406986353,-0.0023988429456949234,0.9613774418830872,2.3286480427486822e-05,0.0023988429456949234
corner_test_far_to_near_by_test_geometry_nn_distance_fixed_pretrained_surrogate,50.0,2.0,420.0,70.0,4.1,420.0,0.3,30.0,406,0,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/best_keras_model_model2_surrogate.keras,fixed_pretrained_repo_surrogate,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,/home/olivias/ML_qubit_design/experiments/model_predict_qubit_TransmonCross_Hamiltonian_params/model/surrogate_loss_2in_3out_best_model.keras,"[64, 3]",Adam,"ExponentialDecay({'initial_learning_rate': 0.001, 'decay_steps': 220, 'decay_rate': 0.99, 'staircase': False, 'name': 'ExponentialDecay'})",mae,1.0,True,383,128,60,0.8479992354991301,0.856618399134557,0.9711650080807196,0.1779258302818811,0.2526095413255909,0.21526768580373598,0.12164598810238553,0.2714995695011094,0.19657277880174745,0.12987993812546839,0.2622398459362983,0.19605989203088334,0.006230836734175682,0.9922772645950317,0.0,0.0
